http://purl.obolibrary.org/obo/BFO_0000001,,,,,,,,
http://ontologies.makolab.com/oc/NonVariableEntity,,,,,,,,
http://ontologies.makolab.com/oc/VariableEntity,,,,,,,,
http://ontologies.makolab.com/oc/VariableEntityManifestation,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000002,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000029,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000034,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000040,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000140,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000142,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000310,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000590,,,,,,,,
http://purl.org/ontohgis#object_10,,,"'artifact'	'artefakt'	'artefact'",,,,,
http://purl.org/ontohgis#object_100,,,"'była miejscowość'	'former dwelling'","'http://dbpedia.org/ontology/HistoricalSettlement'",,,,
http://purl.org/ontohgis#object_1000,"'Miejscowość jest ogólnie dostępna jeżeli nie jest przeznaczona do zamieszkiwania przez określoną grupę osób.'",,"'universal dwelling'	'ogólnie dostępna miejscowość'",,,,,
http://purl.org/ontohgis#object_1001,"'Miejscowość jest dedykowana jeżeli jest przeznaczona do zamieszkiwania przez określoną grupę osób.'",,"'dedykowana miejscowość'	'special dwelling'",,,,,
http://purl.org/ontohgis#object_12,"'Miejscowość właściwa jest taką miejscowością, której funkcja podstawowa nie polega na byciu miejscem zamieszkania.'",,"'improper dwelling'	'niewłaściwa miejscowość'",,,,,
http://purl.org/ontohgis#object_200,,,"'administrative unit manifestation'	'manifestacja jednostki podziału adminstracyjnego'",,,,,
http://purl.org/ontohgis#object_201,,,"'manifestacja organu administracji religijnej'",,,,,
http://purl.org/ontohgis#object_202,,,"'manifestacja organu administracji świeckiej'",,,,,
http://purl.org/ontohgis#object_203,,,"'manifestacja organu administracji'",,,,,
http://purl.org/ontohgis#object_204,,,"'manifestacja obszaru administracyjnego'",,,,,
http://purl.org/ontohgis#object_205,,,"'manifestacja obszaru administracji religijnej'",,,,,
http://purl.org/ontohgis#object_206,,,"'manifestacja obszaru administracji świeckiej'",,,,,
http://purl.org/ontohgis#object_23,,"'Budynek jest to przedmiot trwający w czasie, który został wytworzony lub wykorzystany w celu odgraniczenia pewnej przestrzeni (“wewnątrz') od innej przestrzeni (“zewnątrz”).'","'budynek'	'building'","'http://gov.genealogy.net/types.owl#17'	'http://encyklopedia.pwn.pl/szukaj/budynek.html'",,,,
http://purl.org/ontohgis#object_30,,"'Jednostka osadnicza:
1. obszar posiadający nazwę własną i
2. obszar, który jest lub był w przeszłości miejscowością'","'human settlement'	'jednostka osadnicza'","'http://encyklopedia.pwn.pl/haslo/jednostka-osadnicza;3917491.html'",,,,
http://purl.org/ontohgis#object_3010,,,"'subordinate civic administered region'",,,,,
http://purl.org/ontohgis#object_3020,,,"'sovreign civic administered region'",,,,,
